Date,Open,High,Low,Close,Volume
2018-04-02,22355.8,22809.5,22083.5,22628.0,4912701
2018-04-03,22567.5,22809.5,22265.0,22265.0,3638809
2018-04-04,22446.5,23172.6,22386.0,22688.5,10495833
2018-04-05,22960.8,23051.6,22083.5,22960.8,9394462
2018-04-06,22991.1,23838.1,22960.8,23717.1,9065271
2018-04-09,23717.1,24322.1,23717.1,24080.1,7339449
2018-04-10,24140.6,24140.6,23202.8,23354.1,7081825
2018-04-11,23354.1,23414.6,22174.3,22204.5,8729848
2018-04-12,21841.5,22567.5,21781.0,22265.0,4495811
2018-04-13,22597.8,22597.8,21660.0,21660.0,5485534
2018-04-16,21478.5,21599.5,20813.0,20813.0,6046897
2018-04-17,20934.0,21962.5,20752.5,21962.5,5590273
2018-04-18,22083.5,22355.8,21176.0,21266.7,4188817
2018-04-19,21266.7,21750.7,20691.9,21478.5,6377460
2018-04-20,21478.5,22386.0,21448.2,22386.0,6533238
2018-04-23,22628.0,22688.5,20843.2,20843.2,4764691
2018-04-24,20570.9,21236.5,20298.7,20873.5,4051649
2018-04-26,20873.5,20994.5,19421.4,19421.4,5534772
2018-04-27,18755.9,19905.4,18604.6,19905.4,4342727
2018-05-02,20086.9,20147.4,18513.8,18513.8,3749746
2018-05-03,18211.3,18634.9,17334.0,18634.9,5959744
2018-05-04,18876.9,19360.9,18755.9,19058.4,3469544
2018-05-07,19058.4,20389.4,19028.1,20389.4,4657539
2018-05-08,20389.4,20782.7,20147.4,20389.4,6055888
2018-05-09,20268.4,20964.2,20207.9,20813.0,5777670
2018-05-10,20570.9,20964.2,19844.9,19965.9,3233885
2018-05-11,19481.9,20449.9,19360.9,20268.4,3025415
2018-05-14,20510.4,21176.0,20389.4,21176.0,4286730
2018-05-15,21357.5,21902.0,21297.0,21750.7,4998234
2018-05-16,21660.0,21992.8,21418.0,21962.5,5735605
2018-05-17,21962.5,21962.5,21357.5,21660.0,3531657
2018-05-18,21660.0,21781.0,21055.0,21781.0,4462589
2018-05-21,22083.5,22083.5,21024.7,21297.0,4776029
2018-05-22,21194.1,21330.9,19826.8,19826.8,7360976
2018-05-23,19211.4,20407.9,19143.1,20407.9,2443274
2018-05-24,20407.9,20578.8,20100.2,20373.7,1864948
2018-05-25,20134.4,20647.2,19211.4,19211.4,2737724
2018-05-28,18801.2,18938.0,17878.3,17878.3,8264540
2018-05-29,18049.2,19108.9,18049.2,19108.9,2787645
2018-05-30,19143.1,19963.5,19006.3,19655.8,3561456
2018-05-31,19655.8,21023.2,19553.3,21023.2,5458217
2018-06-01,21125.7,22151.3,20920.6,21877.8,7648844
2018-06-04,21877.8,22561.5,21536.0,22493.1,4943913
2018-06-05,22356.4,23211.0,22117.1,23211.0,6666266
2018-06-06,22903.3,23313.5,22766.6,23176.8,4783415
2018-06-07,23176.8,23279.3,22561.5,22698.2,5436614
2018-06-08,22561.5,23074.2,22253.8,23074.2,6685573
2018-06-11,22800.8,22937.5,22219.6,22219.6,5931611
2018-06-12,21809.4,22561.5,21194.1,22527.3,7949452
2018-06-13,22288.0,23108.4,22219.6,22834.9,6191644
2018-06-14,22698.2,22903.3,21809.4,22219.6,8326894
2018-06-15,22014.5,22219.6,21672.7,22219.6,4668010
2018-06-18,22082.9,22151.3,20681.4,20681.4,11200807
2018-06-19,19621.6,20168.6,19245.6,19621.6,11607253
2018-06-20,19826.8,20852.3,19553.3,20852.3,6787565
2018-06-21,20715.5,20715.5,19826.8,19963.5,3907231
2018-06-22,19484.9,20442.1,19450.7,20407.9,3232253
2018-06-25,20510.4,20681.4,20339.5,20510.4,3241979
2018-06-26,19963.5,20168.6,19860.9,20066.0,3011492
2018-06-27,19997.7,20168.6,19143.1,19348.2,5164616
2018-06-28,18938.0,19279.8,18117.5,18322.7,7012641
2018-06-29,18322.7,19006.3,18288.5,18561.9,3832576
2018-07-02,18391.0,18596.1,17262.9,17980.8,10377821
2018-07-03,17673.2,18459.4,16750.2,16750.2,6192580
2018-07-04,16750.2,17160.4,15998.1,17023.7,4666781
2018-07-05,17092.0,17092.0,15861.4,15861.4,9822547
2018-07-06,14767.5,16681.8,14767.5,16271.6,8996563
2018-07-09,16476.7,16716.0,15382.8,15451.2,5083145
2018-07-10,15451.2,15724.7,14391.5,14425.7,6515713
2018-07-11,13742.0,13810.4,13434.3,13742.0,9316873
2018-07-12,13605.3,14665.0,13502.7,14425.7,4471690
2018-07-13,14835.9,15382.8,14835.9,15280.3,6510243
2018-07-16,15211.9,15382.8,14835.9,15177.7,4968793
2018-07-17,14904.2,16237.4,14904.2,16237.4,4691807
2018-07-18,16408.3,17194.6,16408.3,16955.3,5331302
2018-07-19,16921.1,17228.8,16545.1,17126.2,5463761
2018-07-20,16955.3,16955.3,16134.9,16750.2,5203888
2018-07-23,16476.7,16818.6,16271.6,16271.6,5357103
2018-07-24,16271.6,16647.6,16032.3,16476.7,4014167
2018-07-25,16579.3,16818.6,16340.0,16476.7,2745929
2018-07-26,16340.0,17092.0,16203.2,17092.0,4015600
2018-07-27,17502.2,18288.5,17297.1,18049.2,7409215
2018-07-30,18117.5,18288.5,17741.5,18117.5,3091105
2018-07-31,17912.4,18561.9,17775.7,17775.7,4332707
2018-08-01,17673.2,18117.5,17502.2,17639.0,4594525
2018-08-02,17502.2,17775.7,16989.5,17775.7,5919339
2018-08-03,17809.9,18254.3,17639.0,17707.3,4220930
